nr,nazwa,pp,numberOfSeeds,seeds,totalNumberOfSeeds,numberOfNodes,step,infectedPerStep,infectedTotal,infectedTotalPercentage,computionalTime,interval
1,4,0.3,2,"[2553, 4458]",2,4941,1,12,14,0.28334345274235984,0:00:00.229895,2
1,4,0.3,2,"[831, 3468]",4,4941,2,10,26,0.5262092693786683,0:00:00.250595,2
1,4,0.3,2,"[831, 3468]",4,4941,3,12,38,0.7690750860149766,0:00:00.250595,2
1,4,0.3,2,"[4345, 2542]",6,4941,4,7,47,0.9512244484922081,0:00:00.212190,2
1,4,0.3,2,"[4345, 2542]",6,4941,5,9,56,1.1333738109694393,0:00:00.212190,2
1,4,0.3,2,"[2382, 2575]",8,4941,6,6,64,1.295284355393645,0:00:00.221332,2
1,4,0.3,2,"[2382, 2575]",8,4941,7,15,79,1.5988666261890307,0:00:00.221332,2
1,4,0.3,2,"[2585, 3895]",10,4941,8,4,85,1.7202995345071848,0:00:00.204163,2
1,4,0.3,2,"[2585, 3895]",10,4941,9,7,92,1.861971260878365,0:00:00.204163,2
1,4,0.3,2,"[1224, 2617]",12,4941,10,4,98,1.983404169196519,0:00:00.196155,2
1,4,0.3,2,"[1224, 2617]",12,4941,11,12,110,2.226269985832827,0:00:00.196155,2
1,4,0.3,2,"[2434, 2282]",14,4941,12,6,118,2.3881805302570327,0:00:00.243359,2
1,4,0.3,2,"[2434, 2282]",14,4941,13,11,129,2.610807528840316,0:00:00.243359,2
1,4,0.3,2,"[1005, 1334]",16,4941,14,5,136,2.7524792552114956,0:00:00.197688,2
1,4,0.3,2,"[1005, 1334]",16,4941,15,11,147,2.9751062537947783,0:00:00.197688,2
1,4,0.3,2,"[1309, 2439]",18,4941,16,7,156,3.1572556162720096,0:00:00.229258,2
1,4,0.3,2,"[1309, 2439]",18,4941,17,9,165,3.3394049787492412,0:00:00.229258,2
1,4,0.3,2,"[2662, 4332]",20,4941,18,5,172,3.4810767051204206,0:00:00.198985,2
1,4,0.3,2,"[2662, 4332]",20,4941,19,8,180,3.642987249544627,0:00:00.198985,2
1,4,0.3,2,"[4352, 1030]",22,4941,20,12,194,3.9263307022869864,0:00:00.218163,2
1,4,0.3,2,"[4352, 1030]",22,4941,21,13,207,4.189435336976321,0:00:00.218163,2
1,4,0.3,2,"[490, 725]",24,4941,22,6,215,4.351345881400526,0:00:00.231307,2
1,4,0.3,2,"[490, 725]",24,4941,23,14,229,4.634689334142886,0:00:00.231307,2
1,4,0.3,2,"[1050, 1091]",26,4941,24,9,240,4.857316332726168,0:00:00.244128,2
1,4,0.3,2,"[1050, 1091]",26,4941,25,16,256,5.18113742157458,0:00:00.244128,2
1,4,0.3,2,"[1460, 1106]",28,4941,26,14,272,5.504958510422991,0:00:00.364796,2
1,4,0.3,2,"[1460, 1106]",28,4941,27,17,289,5.849018417324428,0:00:00.364796,2
1,4,0.3,2,"[2936, 2800]",30,4941,28,11,302,6.112123052013763,0:00:00.457637,2
