nr,nazwa,pp,numberOfSeeds,seeds,numberOfNodes,step,infectedPerStep,infectedTotal,infectedTotalPercentage
9,2,0.1,2,"[103, 9]",1899,1,49,43,2.2643496577145865
9,2,0.1,2,"[103, 9]",1899,2,126,121,6.371774618220116
9,2,0.1,2,"[103, 9]",1899,3,396,398,20.95839915745129
9,2,0.1,2,"[103, 9]",1899,4,384,667,35.12374934175882
9,2,0.1,2,"[103, 9]",1899,5,208,820,43.18062137967351
9,2,0.1,2,"[103, 9]",1899,6,54,858,45.18167456556082
9,2,0.1,2,"[103, 9]",1899,7,6,863,45.4449710373881
9,2,0.1,2,"[103, 9]",1899,8,1,864,45.497630331753555
9,2,0.1,2,"[103, 9]",1899,9,0,864,45.497630331753555
9,2,0.1,2,"[1142, 1488]",1899,10,0,866,45.602948920484465
9,2,0.1,2,"[415, 710]",1899,11,1,869,45.76092680358083
9,2,0.1,2,"[415, 710]",1899,12,4,872,45.918904686677195
9,2,0.1,2,"[415, 710]",1899,13,0,872,45.918904686677195
9,2,0.1,2,"[765, 224]",1899,14,0,874,46.02422327540811
9,2,0.1,2,"[1619, 1836]",1899,15,2,878,46.23486045286993
9,2,0.1,2,"[1619, 1836]",1899,16,2,880,46.34017904160084
9,2,0.1,2,"[1619, 1836]",1899,17,0,880,46.34017904160084
9,2,0.1,2,"[852, 492]",1899,18,0,882,46.44549763033176
9,2,0.1,2,"[1545, 779]",1899,19,4,887,46.70879410215903
9,2,0.1,2,"[1545, 779]",1899,20,0,887,46.70879410215903
9,2,0.1,2,"[1069, 1326]",1899,21,0,889,46.81411269088994
9,2,0.1,2,"[1328, 1393]",1899,22,2,892,46.97209057398631
9,2,0.1,2,"[1328, 1393]",1899,23,3,894,47.077409162717224
9,2,0.1,2,"[1328, 1393]",1899,24,2,895,47.13006845708267
9,2,0.1,2,"[1328, 1393]",1899,25,0,895,47.13006845708267
9,2,0.1,2,"[1556, 1724]",1899,26,0,897,47.23538704581359
9,2,0.1,2,"[1580, 752]",1899,27,0,899,47.3407056345445
9,2,0.1,2,"[787, 793]",1899,28,3,903,47.55134281200632
9,2,0.1,2,"[787, 793]",1899,29,0,903,47.55134281200632
9,2,0.1,2,"[841, 942]",1899,30,0,905,47.656661400737235
9,2,0.1,2,"[1013, 228]",1899,31,0,907,47.76197998946814
9,2,0.1,2,"[276, 343]",1899,32,0,909,47.867298578199055
9,2,0.1,2,"[1375, 388]",1899,33,2,912,48.02527646129542
