nr,nazwa,pp,numberOfSeeds,seeds,numberOfNodes,step,infectedPerStep,infectedTotal,infectedTotalPercentage,computionalTime
1,2,0.1,2,"[103, 9]",1899,1,47,49,2.58030542390732,0:00:00.266663
1,2,0.1,2,"[103, 9]",1899,2,106,155,8.162190626645604,0:00:00.266663
1,2,0.1,2,"[103, 9]",1899,3,296,451,23.74934175882043,0:00:00.266663
1,2,0.1,2,"[103, 9]",1899,4,287,738,38.862559241706165,0:00:00.266663
1,2,0.1,2,"[103, 9]",1899,5,103,841,44.28646656134808,0:00:00.266663
1,2,0.1,2,"[103, 9]",1899,6,31,872,45.918904686677195,0:00:00.266663
1,2,0.1,2,"[103, 9]",1899,7,10,882,46.44549763033176,0:00:00.266663
1,2,0.1,2,"[103, 9]",1899,8,1,883,46.49815692469721,0:00:00.266663
1,2,0.1,2,"[103, 9]",1899,9,0,883,46.49815692469721,0:00:00.266663
1,2,0.1,2,"[1488, 1580]",1899,10,0,885,46.60347551342812,0:00:00.005983
1,2,0.1,2,"[609, 1557]",1899,11,0,887,46.70879410215903,0:00:00.005627
1,2,0.1,2,"[345, 274]",1899,12,1,890,46.8667719852554,0:00:00.005379
1,2,0.1,2,"[345, 274]",1899,13,1,891,46.91943127962085,0:00:00.005379
1,2,0.1,2,"[345, 274]",1899,14,0,891,46.91943127962085,0:00:00.005379
1,2,0.1,2,"[1657, 1034]",1899,15,0,893,47.02474986835176,0:00:00.005296
1,2,0.1,2,"[96, 735]",1899,16,1,896,47.18272775144813,0:00:00.006364
1,2,0.1,2,"[96, 735]",1899,17,1,897,47.23538704581359,0:00:00.006364
1,2,0.1,2,"[96, 735]",1899,18,0,897,47.23538704581359,0:00:00.006364
1,2,0.1,2,"[1014, 329]",1899,19,0,899,47.3407056345445,0:00:00.005366
1,2,0.1,2,"[1312, 1585]",1899,20,0,901,47.44602422327541,0:00:00.004646
1,2,0.1,2,"[1556, 903]",1899,21,1,904,47.60400210637177,0:00:00.004382
1,2,0.1,2,"[1556, 903]",1899,22,2,906,47.70932069510268,0:00:00.004382
1,2,0.1,2,"[1556, 903]",1899,23,0,906,47.70932069510268,0:00:00.004382
1,2,0.1,2,"[1436, 540]",1899,24,0,908,47.8146392838336,0:00:00.005623
1,2,0.1,2,"[1284, 1502]",1899,25,0,910,47.9199578725645,0:00:00.004914
1,2,0.1,2,"[882, 1746]",1899,26,2,914,48.13059505002633,0:00:00.005227
1,2,0.1,2,"[882, 1746]",1899,27,0,914,48.13059505002633,0:00:00.005227
1,2,0.1,2,"[575, 1724]",1899,28,0,916,48.23591363875724,0:00:00.007282
1,2,0.1,2,"[1493, 312]",1899,29,1,919,48.393891521853604,0:00:00.006769
1,2,0.1,2,"[1493, 312]",1899,30,1,920,48.446550816219066,0:00:00.006769
1,2,0.1,2,"[1493, 312]",1899,31,0,920,48.446550816219066,0:00:00.006769
1,2,0.1,2,"[164, 1616]",1899,32,0,922,48.55186940494997,0:00:00.004707
1,2,0.1,2,"[180, 300]",1899,33,1,925,48.70984728804634,0:00:00.004166
1,2,0.1,2,"[180, 300]",1899,34,3,928,48.86782517114271,0:00:00.004166
1,2,0.1,2,"[180, 300]",1899,35,0,928,48.86782517114271,0:00:00.004166
1,2,0.1,2,"[816, 769]",1899,36,0,930,48.973143759873615,0:00:00.003377
1,2,0.1,2,"[659, 520]",1899,37,1,933,49.13112164296998,0:00:00.003257
1,2,0.1,2,"[659, 520]",1899,38,0,933,49.13112164296998,0:00:00.003257
1,2,0.1,2,"[646, 699]",1899,39,0,935,49.2364402317009,0:00:00.003590
1,2,0.1,2,"[774, 853]",1899,40,0,937,49.34175882043181,0:00:00.005182
1,2,0.1,2,"[1876, 1518]",1899,41,2,941,49.552395997893626,0:00:00.003760
1,2,0.1,2,"[1876, 1518]",1899,42,1,942,49.60505529225908,0:00:00.003760
1,2,0.1,2,"[1876, 1518]",1899,43,0,942,49.60505529225908,0:00:00.003760
1,2,0.1,2,"[1186, 1468]",1899,44,0,944,49.71037388098999,0:00:00.004406
