nr,nazwa,pp,numberOfSeeds,seeds,totalNumberOfSeeds,numberOfNodes,step,infectedPerStep,infectedTotal,infectedTotalPercentage,computionalTime
1,2,0.1,2,"[103, 9]",2,1899,1,59,47,2.474986835176409,0:00:22.684580
1,2,0.1,2,"[103, 9]",2,1899,2,147,147,7.740916271721959,0:00:22.684580
1,2,0.1,2,"[103, 9]",2,1899,3,455,464,24.433912585571356,0:00:22.684580
1,2,0.1,2,"[103, 9]",2,1899,4,430,758,39.91574512901527,0:00:22.684580
1,2,0.1,2,"[103, 9]",2,1899,5,147,859,45.23433385992628,0:00:22.684580
1,2,0.1,2,"[103, 9]",2,1899,6,37,882,46.44549763033176,0:00:22.684580
1,2,0.1,2,"[103, 9]",2,1899,7,6,886,46.65613480779358,0:00:22.684580
1,2,0.1,2,"[103, 9]",2,1899,8,0,886,46.65613480779358,0:00:22.684580
1,2,0.1,2,"[105, 400]",4,1899,9,0,886,46.65613480779358,0:00:22.684580
1,2,0.1,2,"[32, 3]",6,1899,10,0,886,46.65613480779358,0:00:22.684580
1,2,0.1,2,"[41, 42]",8,1899,11,0,886,46.65613480779358,0:00:22.684580
1,2,0.1,2,"[638, 249]",10,1899,12,0,886,46.65613480779358,0:00:22.684580
1,2,0.1,2,"[713, 194]",12,1899,13,0,886,46.65613480779358,0:00:22.684580
1,2,0.1,2,"[1283, 67]",14,1899,14,0,886,46.65613480779358,0:00:22.684580
1,2,0.1,2,"[372, 357]",16,1899,15,0,886,46.65613480779358,0:00:22.684580
1,2,0.1,2,"[12, 1281]",18,1899,16,0,886,46.65613480779358,0:00:22.684580
1,2,0.1,2,"[19, 176]",20,1899,17,0,886,46.65613480779358,0:00:22.684580
1,2,0.1,2,"[277, 523]",22,1899,18,0,886,46.65613480779358,0:00:22.684580
1,2,0.1,2,"[321, 323]",24,1899,19,0,886,46.65613480779358,0:00:22.684580
1,2,0.1,2,"[704, 598]",26,1899,20,0,886,46.65613480779358,0:00:22.684580
1,2,0.1,2,"[1543, 1713]",28,1899,21,0,886,46.65613480779358,0:00:22.684580
1,2,0.1,2,"[1624, 1598]",30,1899,22,0,886,46.65613480779358,0:00:22.684580
1,2,0.1,2,"[308, 204]",32,1899,23,0,886,46.65613480779358,0:00:22.684580
1,2,0.1,2,"[95, 36]",34,1899,24,0,886,46.65613480779358,0:00:22.684580
1,2,0.1,2,"[144, 679]",36,1899,25,0,886,46.65613480779358,0:00:22.684580
1,2,0.1,2,"[840, 212]",38,1899,26,0,886,46.65613480779358,0:00:22.684580
1,2,0.1,2,"[871, 128]",40,1899,27,0,886,46.65613480779358,0:00:22.684580
